filename,sentiment,emotion,text
audio110.m4a,positive,surprise,Totally caught me off guard
audio111.m4a,positive,surprise,That was way better than I expected
audio112.m4a,positive,joy,Joyful!
audio113.m4a,positive,joy,I cannot help but laugh—this experience has been pure joy from start to finish
audio114.m4a,positive,joy,This was such an uplifting experience. I feel light and joyful!
audio115.m4a,positive,joy,"That concert was pure joy, the energy from the crowd and the music had me dancing all night."
audio116.m4a,negative,sadness,Nothing ever seems to go right lately and it's getting exhausting.
audio117.m4a,negative,disappointment,I keep trying but nothing ever changes. It's all just the same.
audio118.m4a,negative,sadness,I don't know how much longer I can keep going like this.
audio119.m4a,negative,annoyance,"It feels like I'm stuck in a loop, unable to escape."
audio120.m4a,negative,annoyance,The more I try the worse it gets.
audio121.m4a,negative,annoyance,It's impossible to keep up with everything.
audio122.m4a,negative,annoyance,I'm getting tired of repeating myself.
audio123.m4a,negative,anger,I keep hitting dead ends no matter what I try.
audio124.m4a,positive,gratitude,Your support during this difficult time has been my anchor. I can't express how much that's meant to me.
audio125.m4a,positive,admiration,The way you handled that challenging situation showed incredible leadership and composure.
audio126.m4a,negative,fear,Every time I think about the presentation tomorrow my heart starts racing and I feel completely overwhelmed.
audio127.m4a,positive,optimism,Despite the setbacks I believe we're on the right track and will achieve our goals soon.
audio128.m4a,negative,disappointment,I spent weeks preparing for this opportunity only to have it cancelled at the last minute.
audio129.m4a,positive,relief,Finally submitting that project felt like putting down a heavy backpack I'd been carrying for months.
audio130.m4a,negative,confusion,The instructions keep changing and now I'm not sure what I'm supposed to be focusing on.
audio131.m4a,positive,excitement,Just got the email confirming our vacation plans—I can't wait to finally see the ocean!
audio132.m4a,negative,embarrassment,When my phone started ringing during the speech I wanted to disappear into the floor.
audio133.m4a,positive,surprise,I never expected them to remember my birthday let alone plan this entire celebration.
audio134.m4a,negative,grief,It's been a year since we lost him but some days the pain feels just as fresh as the first day.
audio135.m4a,positive,amusement,The dog's reaction to seeing snow for the first time had us laughing until we cried.
audio136.m4a,negative,disgust,The state of the kitchen after my roommates' party was absolutely revolting.
audio137.m4a,positive,curiosity,I've always wondered how they create those incredible special effects in movies.
audio138.m4a,negative,nervousness,My hands won't stop shaking and I keep forgetting what I was about to say.
audio139.m4a,positive,approval,After reviewing all the proposals yours stands out as the most comprehensive and well-researched.
audio140.m4a,negative,sadness,Looking through these old photographs brings back memories that make my heart ache.
audio141.m4a,positive,joy,Dancing in the rain with my best friends today was the most freeing feeling I've had in years.
audio142.m4a,negative,remorse,If I could go back and change how I responded to her I absolutely would.
audio143.m4a,positive,love,Watching you with our child makes my heart feel so full it might burst.
audio144.m4a,negative,anger,They promised to fix this issue three weeks ago and nothing has been done!
audio145.m4a,positive,realization,It just clicked that the solution was hiding in plain sight all along.
audio146.m4a,negative,disapproval ,This approach completely disregards the feedback we received from the community.
audio147.m4a,positive,caring,I made you your favorite soup since I heard you weren't feeling well.
audio148.m4a,negative,annoyance,Could you please stop tapping your pen? It's making it impossible to concentrate.
audio149.m4a,positive,pride,Seeing my daughter graduate today after everything she's overcome—I couldn't be more proud.
audio150.m4a,negative,confusion,Wait so the meeting is cancelled? But I just received a reminder about it five minutes ago.
audio151.m4a,positive,desire,I've had my eye on that vintage record player for months—I think I'm finally going to treat myself.
audio152.m4a,negative,fear,The strange noises coming from outside my window made it impossible to fall asleep last night.
audio153.m4a,positive,excitement,We just got approved for our dream house! I still can't believe it's really happening.
audio154.m4a,negative,disappointment,The film had such potential but completely fell apart in the second half.
audio155.m4a,positive,surprise,I opened the box expecting the usual gift card but found tickets to my favorite band instead!
audio156.m4a,negative,disgust,The smell in the refrigerator was so bad I had to step outside to catch my breath.
audio157.m4a,positive,admiration,Your ability to remain calm under pressure is something I've always aspired to develop.
audio158.m4a,negative,nervousness,I've been rehearsing this speech for days but now my mind is completely blank.
audio159.m4a,positive,gratitude,The way you stepped in to help without being asked showed real kindness and generosity.
audio160.m4a,negative,sadness,Driving past our old neighborhood brought back a flood of memories I wasn't prepared for.
audio161.m4a,positive,joy,When the dog we thought was lost forever came running back—pure joy doesn't begin to describe it.
audio162.m4a,negative,remorse,I should have listened to your advice instead of being so stubborn about doing it my way.
audio163.m4a,positive,curiosity,How exactly do they train dolphins to perform such complex routines? It's fascinating.
audio164.m4a,negative,anger,After waiting for two hours they told us our reservation had been 'misplaced'!
audio165.m4a,positive,approval,The committee unanimously supported your recommendation—it was clearly the right call.
audio166.m4a,negative,embarrassment,I called him by the wrong name twice during our entire conversation.
audio167.m4a,positive,love,Being surrounded by family during the holidays reminds me how fortunate I am to have these bonds.
audio168.m4a,negative,disappointment,I really thought this time the outcome would be different but here we are again.
audio169.m4a,positive,relief,When the test results came back negative I could finally breathe again.
audio170.m4a,negative,disgust,I can't believe someone would leave their trash all over this beautiful hiking trail.
audio171.m4a,positive,pride,Completing the marathon wasn't about the time—it was about proving to myself I could do it.
audio172.m4a,negative,confusion,So we're supposed to submit the form online but the website says in-person submissions only?
audio173.m4a,positive,surprise,I never expected the small café around the corner to serve the best meal I've had all year.
audio174.m4a,negative,fear,The turbulence on that flight was so severe I was convinced we wouldn't make it.
audio175.m4a,positive,amusement,The autocorrect fail in that important email had the entire office in stitches.
audio176.m4a,negative,grief,It's the little things that remind me they're gone—like seeing their favorite cereal in the store.
audio177.m4a,positive,desire,Just one more chapter before bed—this book is too good to put down.
audio178.m4a,negative,annoyance,Could everyone please stop interrupting? I haven't been able to finish a single thought.
audio179.m4a,positive,caring,I noticed you've been working late so I brought you some dinner from that place you like.
audio180.m4a,negative,disapproval ,This policy change completely undermines everything we've been working toward.
audio181.m4a,positive,realization,I've been approaching this problem from the wrong angle—no wonder nothing was working.
audio182.m4a,negative,nervousness,My stomach is in knots waiting for them to announce the results.
audio183.m4a,positive,optimism,The forecast says rain all weekend but I'm still hopeful we'll get some sunshine for the event.
audio184.m4a,negative,sadness,Putting away their toys knowing they've outgrown them hit me harder than I expected.
audio185.m4a,positive,admiration,The level of detail in this painting is extraordinary—I can't stop noticing new elements.
audio186.m4a,negative,remorse,I wish I had taken the time to visit more often before it was too late.
audio187.m4a,positive,gratitude,Finding your umbrella in my bag when the storm hit reminded me how thoughtful you always are.
audio188.m4a,negative,fear,The power went out during the storm and every sound in the darkness seemed threatening.
audio189.m4a,positive,joy,Watching the sunrise from the mountaintop after hours of hiking—absolutely worth every step.
audio190.m4a,negative,anger,They made these decisions without consulting anyone who would be affected by them!
audio191.m4a,positive,excitement,We just booked our tickets for that festival we've been talking about for years!
audio192.m4a,negative,disappointment,The reality of the experience didn't come close to matching the hype surrounding it.
audio193.m4a,positive,surprise,I turned the corner and there they all were waiting to surprise me—I was completely speechless.
audio194.m4a,negative,disgust,The way they spoke about those vulnerable people showed a complete lack of empathy.
audio195.m4a,positive,approval,This is exactly the direction we should be taking—it addresses all our key concerns.
audio196.m4a,negative,confusion,Wait so the deadline was yesterday? But the email clearly said next week.
audio197.m4a,positive,curiosity,I've always been fascinated by how certain songs can instantly transport you back in time.
audio198.m4a,negative,embarrassment,I realized halfway through my story that I was confusing them with someone else entirely.
audio199.m4a,positive,relief,When they called to say they'd found my lost wallet with everything still inside—pure relief.
audio200.m4a,negative,annoyance,The constant notifications from this app are driving me crazy.
audio201.m4a,positive,love,Watching you pursue your passion with such dedication makes me fall in love with you all over again.
audio202.m4a,negative,grief,Some days I still reach for the phone to call them before remembering they're gone.
audio203.m4a,positive,pride,Seeing my name published alongside researchers I've admired for years—still can't believe it.
audio204.m4a,positive,admiration,"I had always respected the project from afar, but seeing the final version in person made me truly admire the dedication that went into it."
audio205.m4a,positive,amusement,"The absurdity of the situation was so unexpected that I couldn’t help but laugh out loud, completely caught off guard."
audio206.m4a,negative,anger,"When I saw how they brushed off my concerns without even a second thought, my frustration reached a boiling point."
audio207.m4a,positive,approval,"I was initially skeptical, but now I can confidently say that the outcome is exactly what we needed—well done!"
audio208.m4a,negative,confusion,"The more I tried to figure out what was going on, the more lost I became in the complexity of it all."
audio209.m4a,negative,disappointment,"I had high expectations, but the outcome was underwhelming in every way—it’s hard to feel anything but let down."
